Roll no,exam score
EXA000001,77
EXA000002,55
EXA000003,62
EXA000004,60
EXA000005,88
EXA000006,73
EXA000007,69
EXA000008,77
EXA000009,69
EXA000010,69
EXA000011,81
EXA000012,69
EXA000013,75
EXA000014,53
EXA000015,70
EXA000016,73
EXA000017,81
EXA000018,71
EXA000019,82
EXA000020,67
EXA000021,38
EXA000022,80
EXA000023,61
EXA000024,71
EXA000025,70
EXA000026,73
EXA000027,80
EXA000028,62
EXA000029,69
EXA000030,83
EXA000031,71
EXA000032,61
EXA000033,63
EXA000034,75
EXA000035,68
EXA000036,47
EXA000037,80
EXA000038,67
EXA000039,67
EXA000040,80
EXA000041,69
EXA000042,63
EXA000043,68
EXA000044,71
EXA000045,80
EXA000046,88
EXA000047,68
EXA000048,80
EXA000049,72
EXA000050,71
EXA000051,55
EXA000052,67
EXA000053,38
EXA000054,77
EXA000055,70
EXA000056,55
EXA000057,73
EXA000058,68
EXA000059,60
EXA000060,53
EXA000061,60
EXA000062,59
EXA000063,59
EXA000064,83
EXA000065,63
EXA000066,75
EXA000067,61
EXA000068,83
EXA000069,77
EXA000070,61
EXA000071,68
EXA000072,85
EXA000073,85
EXA000074,56
EXA000075,80
EXA000076,62
EXA000077,63
EXA000078,73
EXA000079,71
EXA000080,53
EXA000081,80
EXA000082,68
EXA000083,87
EXA000084,77
EXA000085,71
EXA000086,67
EXA000087,77
EXA000088,79
EXA000089,55
EXA000090,70
EXA000091,60
EXA000092,67
EXA000093,70
EXA000094,69
EXA000095,69
EXA000096,64
EXA000097,80
EXA000098,60
EXA000099,71
EXA000100,68
EXA000101,58
EXA000102,69
EXA000103,88
EXA000104,73
EXA000105,73
EXA000106,50
EXA000107,88
EXA000108,62
EXA000109,83
EXA000110,67
EXA000111,61
EXA000112,69
EXA000113,80
EXA000114,75
EXA000115,74
EXA000116,73
EXA000117,54
EXA000118,55
EXA000119,52
EXA000120,53
EXA000121,70
EXA000122,69
EXA000123,71
EXA000124,73
EXA000125,73
EXA000126,71
EXA000127,75
EXA000128,63
EXA000129,62
EXA000130,83
EXA000131,80
EXA000132,73
EXA000133,67
EXA000134,80
EXA000135,73
EXA000136,83
EXA000137,68
EXA000138,62
EXA000139,59
EXA000140,69
EXA000141,59
EXA000142,80
EXA000143,71
EXA000144,87
EXA000145,73
EXA000146,80
EXA000147,73
EXA000148,81
EXA000149,55
EXA000150,70
EXA000151,64
EXA000152,59
EXA000153,53
EXA000154,55
EXA000155,70
EXA000156,70
EXA000157,67
EXA000158,69
EXA000159,80
EXA000160,61
EXA000161,47
EXA000162,66
EXA000163,69
EXA000164,69
EXA000165,70
EXA000166,69
EXA000167,63
EXA000168,62
EXA000169,71
EXA000170,77
EXA000171,67
EXA000172,70
EXA000173,85
EXA000174,71
EXA000175,53
EXA000176,71
EXA000177,71
EXA000178,71
EXA000179,67
EXA000180,70
EXA000181,59
EXA000182,54
EXA000183,44
EXA000184,83
EXA000185,61
EXA000186,94
EXA000187,80
EXA000188,70
EXA000189,59
EXA000190,61
EXA000191,81
EXA000192,71
EXA000193,71
EXA000194,53
EXA000195,62
EXA000196,77
EXA000197,59
