Roll no,test preparation ,gender,parental level of education,lunch,Section,practical score,viva score,exam score
EXA000001,none,male,some college,standard,Section A,70,73,70
EXA000002,none,male,master's degree,free/reduced,Section C,55,54,52
EXA000003,none,male,master's degree,free/reduced,Section E,56,46,43
EXA000004,none,female,some college,free/reduced,Section C,35,47,41
EXA000005,none,female,high school,standard,Section C,87,92,81
EXA000006,none,female,associate's degree,free/reduced,Section E,80,82,85
EXA000007,completed,female,associate's degree,standard,Section D,65,71,74
EXA000008,none,male,high school,free/reduced,Section C,66,66,62
EXA000009,completed,female,associate's degree,standard,Section D,67,71,76
EXA000010,none,female,some college,standard,Section B,70,71,71
EXA000011,none,male,associate's degree,standard,Section E,89,88,86
EXA000012,completed,male,associate's degree,standard,Section D,99,85,88
EXA000013,none,male,some college,standard,Section B,74,83,72
EXA000014,none,male,high school,free/reduced,Section D,58,52,51
EXA000015,none,male,some high school,standard,Section D,70,66,59
EXA000016,none,female,associate's degree,standard,Section E,80,79,71
EXA000017,none,male,associate's degree,standard,Section D,90,87,86
EXA000018,completed,female,associate's degree,standard,Section B,80,81,85
EXA000019,none,female,associate's degree,free/reduced,Section D,68,76,79
EXA000020,completed,female,high school,free/reduced,Section B,69,78,75
EXA000021,none,female,master's degree,free/reduced,Section D,32,35,37
EXA000022,completed,male,high school,standard,Section D,82,82,82
EXA000023,none,female,some high school,standard,Section A,57,53,54
EXA000024,none,female,some college,free/reduced,Section E,69,74,75
EXA000025,completed,male,associate's degree,standard,Section D,68,66,72
EXA000026,completed,male,associate's degree,free/reduced,Section C,74,85,87
EXA000027,none,male,master's degree,standard,Section E,89,85,78
EXA000028,completed,male,associate's degree,free/reduced,Section C,46,46,48
EXA000029,completed,male,associate's degree,standard,Section C,76,82,77
EXA000030,none,male,high school,standard,Section B,86,82,72
EXA000031,none,male,some college,standard,Section D,69,73,67
EXA000032,none,female,high school,standard,Section B,52,56,54
EXA000033,none,male,bachelor's degree,standard,Section C,63,71,65
EXA000034,completed,male,associate's degree,standard,Section A,96,82,90
EXA000035,completed,male,some college,standard,Section C,80,76,68
EXA000036,none,female,high school,standard,Section E,59,52,56
EXA000037,completed,male,some high school,standard,Section D,80,77,80
EXA000038,completed,female,high school,free/reduced,Section E,65,77,74
EXA000039,completed,female,master's degree,free/reduced,Section E,74,83,84
EXA000040,none,male,some high school,standard,Section D,90,93,84
EXA000041,completed,female,some college,standard,Section B,69,72,72
EXA000042,none,male,high school,standard,Section C,69,67,63
EXA000043,none,female,some college,standard,Section C,62,64,61
EXA000044,none,female,master's degree,standard,Section D,67,75,80
